Sample (g) approx.,Sample info,Date Wandsworth,Museum no.,NHM loan,Residue IRN,Cruise name,Cruise station,Collection date,Observations,Sea Depth (m),Sea Depth (fms),Sample depth MIN (cm),Sample depth MAX (cm),Era,Grade,Lat degrees,Lat minutes,Lat seconds,Lat N/S,Long degrees,Long minutes,Long seconds,Long W/E,Lat decimal,Long decimal,Ocean/Sea
2.6,,05/08/15,"1968,O239",ok,18480,RV Argo Dodo,57 P,19/06/64,,3653,1997,33,36,Zone N21,,15,40,0,S,112,44,0,E,-15.66667,112.73333,Indian ocean
3.2,,05/08/15,"1968,O240",ok,18481,RV Argo Dodo,57 P,19/06/64,Not in Buckley collection ,3653,1997,99,102,,,15,40,0,S,112,44,0,E,-15.66667,112.73333,Indian ocean
0.8,,05/08/15,"1968,O241",ok,18482,RV Argo Dodo,117 P,18/06/64,,3398,1858,5,8,Zone N23,,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
1.1,,05/08/15,"1968,O242",ok,18483,RV Argo Dodo,117 P,18/06/64,Slide: Long 6 4  E ,3398,1858,99,102,Zone N21,,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
2.4,,05/08/15,"1968,O243",ok,18484,RV Argo Dodo,117 P,18/06/64,Slide: Long 6 4  E,3398,1858,251,254,Zone N20,,18,21,0,S,62,4,0,E,-18.35,62.06667,Indian ocean
1.1,,05/08/15,"1968,O375",ok,Did not find OBD IRN,RV Spencer F. Baird,CAP 38 BP,02/02/53,Not in Buckley collection ,3400,1859,Top section,Top section,,,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
2.6,,05/08/15,"1968,O376",ok,18525,RV Spencer F. Baird,CAP 38 BP,02/02/53,Not in Buckley collection ,3400,1859,381,384,,,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
3,,05/08/15,"1968,O377",ok,18526,RV Spencer F. Baird,CAP 38 BP,02/02/53,Not in Buckley collection ,3400,1859,472,474,,,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
2.8,,05/08/15,"1968,O378",ok,18527,RV Spencer F. Baird,CAP 38 BP,02/02/53,,3400,1859,488,490,N21,,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
2.5,,05/08/15,"1968,O379",ok,18528,RV Spencer F. Baird,CAP 38 BP,02/02/53,,3400,1859,503,505,N19 top,,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
1.4,,05/08/15,"1968,O380",ok,18529,RV Spencer F. Baird,CAP 38 BP,02/02/53,,3400,1859,544,546,Lower N19,,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
2.3,,05/08/15,"1968,O381",ok,18530,RV Spencer F. Baird,CAP 38 BP,02/02/53,,3400,1859,575,578,Zone N19,,14,16,0,S,119,11,0,W,-14.26667,-119.18333,Pacific ocean
5.3,,05/08/15,"1968,O399",ok,18547,RV Chain / CH61,171,06/12/66,,4517,2470,80,80,,,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
4.9,,05/08/15,"1968,O402",ok,18550,RV Chain / CH61,171,06/12/66,,4517,2470,300,300,,,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
4.9,,05/08/15,"1968,O405",ok,18553,RV Chain / CH61,171,06/12/66,,4517,2470,480,480,,,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
4.6,,05/08/15,"1968,O412",ok,18560,RV Chain / CH61,171,06/12/66,,4517,2470,600,600,,,26,42,0,N,39,23,0,W,26.7,-39.38333,Atlantic ocean
8.4,,05/08/15,M.25,ok,33286,HMS Challenger,5,21/02/1873,,5011,2740,,,,,24,20,0,N,24,28,0,W,24.33333,-24.46667,Atlantic ocean
4.9,,05/08/15,M.284,ok,33668,HMS Challenger,220,11/03/1875,,2012,1100,,,,,0,42,0,S,147,0,0,E,-0.7,147,Pacific ocean
7.6,,05/08/15,M.4080,ok,34993,HMS Egeria,58,26/08/1889,,2579,1410,,,,,15,39,0,S,179,3,45,W,-15.65,-179.0625,Pacific ocean
6.3,,05/08/15,M.7037,ok,36683,HMS Penguin,635,06/09/1897,OBD 1 12 8 N,4243,2320,,,,,1,12,48,N,161,50,12,W,1.21333,-161.83667,Pacific ocean
5,,05/08/15,M.7059,ok,36704,HMS Penguin,723,20/09/1897,Slide: Long 145 41 3 W,4071,2226,,,,,13,10,18,S,175,41,18,W,-13.17167,-175.68833,Pacific ocean
1,,18/08/16,"1,963,916",ok,16640,RV Horizon,Cap HG 37,31/01/53,Gravity core ,3456,2105,4,8,,,13,5,30,S,124,16,48,W,-13.09167,-124.28,Pacific ocean
2,,18/08/16,"1,963,925",ok,16650,RV Spencer F. Baird,DWBG 114,23/01/58,Gravity core ,3157,1690,8,12,,,18,20,0,S,79,20,30,W,-18.33333,-79.34167,Pacific ocean
1,"""somewhat mixed in storage""",18/08/16,"1965,O205",ok,17162,RV Vema,V 3-153,,,1004,530,2,2,,,28,24,0,N,77,56,0,W,28.4,-77.93333,Atlantic ocean near coast
1,,18/08/16,M.192,ok,32657,HMS Challenger,158,07/03/1874,,3976,1800,,,,,50,1,0,S,123,4,0,E,-50.01667,123.06667,Antarctic Indian Ocean
6,blue bottle,18/08/16,M.3434,ok,34297,CS Buccaneer,407,09/03/1886,,3226,1845,,,,,0,1,36,S,15,56,30,W,-0.027,-15.942,Atlantic ocean
5,Globigerina ooze washings,18/08/16,M.3434,ok,34297,CS Buccaneer,407,09/03/1886,,3226,1845,,,,,0,1,36,S,15,56,30,W,-0.027,-15.942,Atlantic ocean
,3 tubes with identified specimens,18/08/16,M.3434,ok,34297,CS Buccaneer,407,09/03/1886,,3226,1845,,,,,0,1,36,S,15,56,30,W,-0.027,-15.942,Atlantic ocean
,Washings of sounding ,18/08/16,M.3787,ok,34671,HMS Egeria ,16,31/10/1887,,2869,1569,,,,,19,34,0,S,64,38,0,E,-19.56667,64.63333,Indian ocean
,Washings,18/08/16,M.5246,ok,36053,HMS Penguin,9,16/04/1891,OBD 111 10 9 E,3676,2010,,,,+250 mu,26,56,12,S,111,10,54,E,-26.93667,111.18167,Indian ocean near coast
,Washings,18/08/16,M.5840,ok,36361,HMS Penguin,3,21/05/1896,,4844,2715,,,,,10,12,53,S,178,0,52,E,-10.21472,178.01444,Pacific ocean
,Fine washings,18/08/16,M.7469,ok,37130,HMS Sealark,52,29/07/05,,4082,2232,,,,+250 mu,8,25,0,S,65,38,0,E,-8.41667,65.63333,Indian ocean
,tube,18/08/16,M.7469,ok,37130,HMS Sealark,52,29/07/05,,4082,2232,,,,+250 mu,8,25,0,S,65,38,0,E,-8.41667,65.63333,Indian ocean
3,,18/08/16,M.8780,ok,38482,HMS Waterwitch,91,22/01/1895,,3780,2140,,,,,40,24,0,S,49,49,0,E,-40.45,49.81667,Indian ocean
,Fine washings,18/08/16,M.8780,ok,38482,HMS Waterwitch,91,22/01/1895,,3780,2140,,,,,40,24,0,S,49,49,0,E,-40.45,49.81667,Indian ocean
,"tube - ""material already sap.""",18/08/16,M.8780,ok,38482,HMS Waterwitch,91,22/01/1895,,3780,2140,,,,,40,24,0,S,49,49,0,E,-40.45,49.81667,Indian ocean
